date,tempmin,tempmax,tempavg,humidity
2024-04-01,36.32,52.88,41.9,79.5
2024-04-02,33.62,47.48,41.54,71.2
2024-04-03,39.38,54.14,46.58,76.6
2024-04-04,41.36,60.98,51.08,82.4
2024-04-05,43.16,70.88,55.76,69.1
2024-04-06,44.06,74.84,58.1,56.5
2024-04-07,50.36,69.08,58.82,58.6
2024-04-08,53.06,76.28,65.48,43.7
2024-04-09,40.64,69.08,52.16,68.9
2024-04-10,40.28,48.38,43.88,86.4
2024-04-11,37.76,61.34,48.92,77.1
2024-04-12,41.36,69.08,54.14,78.4
2024-04-13,45.86,75.92,59.0,70.5
2024-04-14,46.76,79.34,62.06,60.0
2024-04-15,54.32,66.74,59.36,71.0
2024-04-16,39.74,54.68,48.38,55.6
2024-04-17,36.5,43.34,39.02,94.2
2024-04-18,33.8,42.8,37.94,86.1
2024-04-19,32.18,46.94,38.48,85.4
2024-04-20,37.4,43.34,39.74,88.9
2024-04-21,33.98,41.54,36.32,94.7
2024-04-22,31.64,38.48,34.7,97.3
2024-04-23,33.98,41.18,37.4,90.6
2024-04-24,36.68,46.94,40.46,77.7
2024-04-25,35.6,51.08,41.9,72.8
2024-04-26,35.78,57.38,46.04,69.6
2024-04-27,36.86,62.6,51.26,62.3
2024-04-28,48.38,58.64,53.96,62.1
2024-04-29,44.6,66.2,54.32,76.7
2024-04-30,45.14,71.24,59.18,54.4
2024-05-01,43.88,59.18,51.62,61.5
2024-05-02,46.94,59.9,53.42,76.7
2024-05-03,43.88,52.7,47.66,90.5
2024-05-04,39.56,62.78,50.36,78.0
2024-05-05,48.92,67.28,56.12,80.4
2024-05-06,50.54,57.74,53.78,96.6
2024-05-07,41.18,50.54,47.84,96.6
2024-05-08,41.72,57.38,50.0,92.2
2024-05-09,47.84,63.5,54.5,80.7
2024-05-10,44.96,72.14,58.28,75.1
2024-05-11,49.28,75.92,62.06,69.8
2024-05-12,54.14,73.94,61.16,75.2
2024-05-13,52.34,66.2,59.18,82.2
2024-05-14,46.76,75.56,60.44,70.7
2024-05-15,53.24,64.58,57.92,82.5
2024-05-16,48.74,57.2,52.88,91.6
2024-05-17,47.48,65.66,55.04,75.1
2024-05-18,50.0,66.74,56.48,77.6
2024-05-19,47.84,66.38,56.66,81.9
2024-05-20,49.64,69.44,59.9,77.4
2024-05-21,52.88,62.06,56.3,87.0
2024-05-22,51.08,61.7,55.76,87.8
2024-05-23,46.58,57.2,51.8,94.5
2024-05-24,46.58,60.08,52.52,94.3
2024-05-25,49.64,64.94,56.3,78.1
2024-05-26,46.58,68.18,58.64,74.2
2024-05-27,55.04,65.3,59.0,92.0
2024-05-28,50.54,65.66,56.3,79.7
2024-05-29,49.64,65.3,57.56,79.2
2024-05-30,52.88,66.38,57.92,89.5
2024-05-31,46.94,51.08,48.38,98.0
2024-06-01,47.84,60.98,53.6,86.0
2024-06-02,50.9,58.28,54.5,96.0
2024-06-03,51.44,62.24,56.66,94.5
2024-06-04,53.24,70.7,61.7,78.5
2024-06-05,53.24,75.74,65.3,72.6
2024-06-06,54.68,78.44,63.86,77.4
2024-06-07,55.58,74.3,63.68,87.5
2024-06-08,55.94,72.14,64.4,86.9
2024-06-09,59.54,71.78,63.86,91.8
2024-06-10,55.04,64.94,59.72,82.0
2024-06-11,48.74,58.28,53.6,90.2
2024-06-12,46.04,62.6,53.78,79.9
2024-06-13,48.74,67.64,57.56,73.1
2024-06-14,52.88,66.2,58.64,84.5
2024-06-15,56.3,64.76,60.08,81.3
2024-06-16,54.14,72.32,61.7,75.6
2024-06-17,56.48,74.3,65.3,74.0
2024-06-18,56.48,83.48,70.34,65.5
2024-06-19,60.26,83.3,70.16,64.8
2024-06-20,62.06,74.84,67.64,84.2
2024-06-21,57.2,65.84,62.24,98.1
2024-06-22,51.44,62.6,57.02,95.2
2024-06-23,51.98,63.14,57.2,89.3
2024-06-24,51.98,75.38,64.58,77.4
2024-06-25,58.28,78.98,66.2,85.2
2024-06-26,57.38,71.6,63.14,89.6
2024-06-27,57.38,82.76,68.18,76.2
2024-06-28,63.5,85.28,73.04,71.6
2024-06-29,63.68,83.84,72.14,68.7
2024-06-30,63.68,70.7,67.28,78.7
2024-07-01,58.28,69.08,62.6,87.3
2024-07-02,55.94,67.28,60.98,79.7
2024-07-03,54.68,64.04,57.56,91.0
2024-07-04,53.6,74.84,63.68,70.4
2024-07-05,55.04,77.18,66.56,70.4
2024-07-06,58.64,70.88,65.12,87.0
2024-07-07,55.94,64.58,59.36,92.4
2024-07-08,55.94,77.54,66.56,78.7
2024-07-09,60.8,85.1,72.14,71.8
2024-07-10,67.28,75.74,70.34,84.3
2024-07-11,64.04,80.24,70.34,87.2
2024-07-12,54.14,71.96,65.3,91.2
2024-07-13,53.24,67.28,60.26,80.7
2024-07-14,51.44,76.28,63.86,75.8
2024-07-15,53.6,82.04,68.36,76.6
2024-07-16,62.78,75.74,68.72,80.5
2024-07-17,62.78,73.94,67.64,69.7
2024-07-18,58.64,80.96,69.44,76.4
